group1,group2,meandiff,p-adj,lower,upper,reject,Segment
Oceania,West Asia,0.0208,1.0,-0.2553,0.2969,False,2
South America,SouthCentral Asia,0.0235,0.9999,-0.142,0.1891,False,2
South America,West Asia,0.048,0.9903,-0.1244,0.2205,False,2
SouthCentral Asia,West Asia,0.0245,0.9999,-0.1596,0.2086,False,2
Africa,East Asia,0.0549,0.9535,-0.0947,0.2045,False,3
Africa,Europe,0.1169,0.0644,-0.0035,0.2374,False,3
Africa,North America,0.1619,0.1935,-0.0343,0.358,False,3
Africa,Oceania,0.1032,0.9439,-0.1683,0.3747,False,3
Africa,South America,0.0602,0.9138,-0.0853,0.2058,False,3
Africa,SouthCentral Asia,0.1416,0.1317,-0.0193,0.3024,False,3
Africa,West Asia,0.1585,0.0836,-0.0103,0.3274,False,3
East Asia,Europe,0.0621,0.8958,-0.0822,0.2063,False,3
East Asia,North America,0.107,0.7872,-0.1046,0.3186,False,3
East Asia,Oceania,0.0483,0.9996,-0.2345,0.3312,False,3
East Asia,South America,0.0053,1.0,-0.1604,0.1711,False,3
East Asia,SouthCentral Asia,0.0867,0.8234,-0.0926,0.266,False,3
East Asia,West Asia,0.1037,0.6943,-0.0829,0.2902,False,3
Europe,North America,0.0449,0.9967,-0.1472,0.237,False,3
Europe,Oceania,-0.0137,1.0,-0.2823,0.2548,False,3
Europe,South America,-0.0567,0.9223,-0.1967,0.0833,False,3
Europe,SouthCentral Asia,0.0246,0.9997,-0.1312,0.1805,False,3
Europe,West Asia,0.0416,0.9945,-0.1225,0.2057,False,3
North America,Oceania,-0.0586,0.9991,-0.3686,0.2513,False,3
North America,South America,-0.1016,0.8179,-0.3104,0.1071,False,3
North America,SouthCentral Asia,-0.0203,1.0,-0.2399,0.1994,False,3
North America,West Asia,-0.0033,1.0,-0.2289,0.2223,False,3
Oceania,South America,-0.043,0.9998,-0.3237,0.2377,False,3
Oceania,SouthCentral Asia,0.0384,0.9999,-0.2506,0.3273,False,3
Oceania,West Asia,0.0553,0.9992,-0.2381,0.3488,False,3
South America,SouthCentral Asia,0.0814,0.8546,-0.0946,0.2573,False,3
South America,West Asia,0.0983,0.7313,-0.0849,0.2816,False,3
SouthCentral Asia,West Asia,0.017,1.0,-0.1787,0.2126,False,3
Africa,East Asia,-0.0343,0.9982,-0.1957,0.1271,False,4
Africa,Europe,0.0287,0.9977,-0.1014,0.1588,False,4
Africa,North America,-0.0677,0.9782,-0.2793,0.1439,False,4
Africa,Oceania,-0.0876,0.9852,-0.3805,0.2053,False,4
Africa,South America,0.0902,0.6571,-0.0668,0.2472,False,4
Africa,SouthCentral Asia,0.1352,0.2585,-0.0383,0.3087,False,4
Africa,West Asia,0.092,0.7878,-0.0901,0.2741,False,4
East Asia,Europe,0.063,0.9232,-0.0928,0.2187,False,4
East Asia,North America,-0.0334,0.9998,-0.2616,0.1949,False,4
East Asia,Oceania,-0.0533,0.9995,-0.3584,0.2518,False,4
East Asia,South America,0.1244,0.4056,-0.0544,0.3032,False,4
East Asia,SouthCentral Asia,0.1695,0.1357,-0.024,0.3629,False,4
East Asia,West Asia,0.1263,0.5457,-0.0749,0.3275,False,4
Europe,North America,-0.0963,0.8514,-0.3036,0.111,False,4
Europe,Oceania,-0.1163,0.926,-0.4061,0.1735,False,4
Europe,South America,0.0615,0.9207,-0.0897,0.2126,False,4
Europe,SouthCentral Asia,0.1065,0.534,-0.0617,0.2748,False,4
Europe,West Asia,0.0633,0.9594,-0.1137,0.2404,False,4
North America,Oceania,-0.0199,1.0,-0.3543,0.3145,False,4
North America,South America,0.1578,0.3959,-0.0673,0.383,False,4
North America,SouthCentral Asia,0.2029,0.1566,-0.0341,0.4398,False,4
North America,West Asia,0.1597,0.486,-0.0836,0.403,False,4
Oceania,South America,0.1778,0.6308,-0.125,0.4806,False,4
Oceania,SouthCentral Asia,0.2228,0.3694,-0.0889,0.5345,False,4
Oceania,West Asia,0.1796,0.6709,-0.1369,0.4962,False,4
South America,SouthCentral Asia,0.045,0.9964,-0.1447,0.2348,False,4
South America,West Asia,0.0019,1.0,-0.1958,0.1995,False,4
SouthCentral Asia,West Asia,-0.0432,0.9986,-0.2542,0.1679,False,4
