group1,group2,meandiff,p-adj,lower,upper,reject,Segment
Oceania,SouthCentral Asia,0.0472,1.0,-0.4679,0.5623,False,2
Oceania,West Asia,-0.0167,1.0,-0.5399,0.5064,False,2
South America,SouthCentral Asia,-0.2514,0.2255,-0.565,0.0623,False,2
South America,West Asia,-0.3153,0.0674,-0.642,0.0114,False,2
SouthCentral Asia,West Asia,-0.064,0.9993,-0.4127,0.2848,False,2
Africa,East Asia,0.0157,1.0,-0.2407,0.2722,False,3
Africa,Europe,-0.1689,0.2029,-0.3754,0.0376,False,3
Africa,North America,0.0475,0.9999,-0.2887,0.3837,False,3
Africa,Oceania,-0.1748,0.9474,-0.6402,0.2906,False,3
Africa,South America,0.1515,0.5883,-0.0979,0.401,False,3
Africa,SouthCentral Asia,-0.1067,0.9386,-0.3824,0.169,False,3
Africa,West Asia,-0.1902,0.4837,-0.4796,0.0992,False,3
East Asia,Europe,-0.1846,0.3117,-0.4319,0.0626,False,3
East Asia,North America,0.0318,1.0,-0.3309,0.3945,False,3
East Asia,Oceania,-0.1905,0.9335,-0.6753,0.2943,False,3
East Asia,South America,0.1358,0.8319,-0.1483,0.4199,False,3
East Asia,SouthCentral Asia,-0.1224,0.9289,-0.4298,0.185,False,3
East Asia,West Asia,-0.206,0.5111,-0.5257,0.1138,False,3
Europe,North America,0.2164,0.4838,-0.1128,0.5456,False,3
Europe,Oceania,-0.0059,1.0,-0.4662,0.4545,False,3
Europe,South America,0.3204,0.0014,0.0805,0.5604,True,3
Europe,SouthCentral Asia,0.0622,0.9968,-0.2049,0.3294,False,3
Europe,West Asia,-0.0213,1.0,-0.3026,0.2599,False,3
North America,Oceania,-0.2223,0.9091,-0.7536,0.3091,False,3
North America,South America,0.104,0.9874,-0.2537,0.4618,False,3
North America,SouthCentral Asia,-0.1542,0.9182,-0.5307,0.2224,False,3
North America,West Asia,-0.2377,0.5727,-0.6244,0.1489,False,3
Oceania,South America,0.3263,0.441,-0.1548,0.8075,False,3
Oceania,SouthCentral Asia,0.0681,0.9999,-0.4272,0.5634,False,3
Oceania,West Asia,-0.0154,1.0,-0.5185,0.4876,False,3
South America,SouthCentral Asia,-0.2582,0.1566,-0.5598,0.0434,False,3
South America,West Asia,-0.3418,0.022,-0.6559,-0.0276,True,3
SouthCentral Asia,West Asia,-0.0836,0.9951,-0.4189,0.2518,False,3
Africa,East Asia,0.0961,0.9543,-0.1667,0.3588,False,4
Africa,Europe,-0.1245,0.6288,-0.3363,0.0872,False,4
Africa,North America,0.0904,0.9932,-0.254,0.4349,False,4
Africa,Oceania,0.0268,1.0,-0.4499,0.5035,False,4
Africa,South America,0.0946,0.9512,-0.1609,0.3502,False,4
Africa,SouthCentral Asia,-0.2532,0.1166,-0.5356,0.0292,False,4
Africa,West Asia,-0.1201,0.9223,-0.4166,0.1763,False,4
East Asia,Europe,-0.2206,0.1416,-0.4741,0.0329,False,4
East Asia,North America,-0.0056,1.0,-0.3772,0.3659,False,4
East Asia,Oceania,-0.0693,0.9999,-0.5659,0.4274,False,4
East Asia,South America,-0.0015,1.0,-0.2925,0.2896,False,4
East Asia,SouthCentral Asia,-0.3493,0.0178,-0.6642,-0.0344,True,4
East Asia,West Asia,-0.2162,0.4782,-0.5437,0.1113,False,4
Europe,North America,0.215,0.526,-0.1225,0.5524,False,4
Europe,Oceania,0.1513,0.9778,-0.3203,0.623,False,4
Europe,South America,0.2191,0.1218,-0.0269,0.4651,False,4
Europe,SouthCentral Asia,-0.1287,0.8439,-0.4025,0.1452,False,4
Europe,West Asia,0.0044,1.0,-0.2838,0.2927,False,4
North America,Oceania,-0.0636,1.0,-0.6079,0.4807,False,4
North America,South America,0.0042,1.0,-0.3623,0.3707,False,4
North America,SouthCentral Asia,-0.3436,0.1217,-0.7293,0.0421,False,4
North America,West Asia,-0.2105,0.7407,-0.6066,0.1855,False,4
Oceania,South America,0.0678,0.9999,-0.4251,0.5607,False,4
Oceania,SouthCentral Asia,-0.28,0.7017,-0.7874,0.2273,False,4
Oceania,West Asia,-0.1469,0.9888,-0.6622,0.3684,False,4
South America,SouthCentral Asia,-0.3478,0.0151,-0.6567,-0.0389,True,4
South America,West Asia,-0.2147,0.4633,-0.5365,0.1071,False,4
SouthCentral Asia,West Asia,0.1331,0.9381,-0.2104,0.4766,False,4
