StoryID,RegionSimplified,Country,GenreSimplified,PanelOrdinal,Valence,Arousal,valence_roll_5,arousal_roll_5
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.345454545,-1,4,-1,4.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.351515152,-1,5,-1,4.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.357575758,-1,5,-1,4.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.363636364,-1,3,-1,4.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.36969697,-1,4,-1,4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.375757576,-1,4,-1,3.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.381818182,-1,4,-1,3.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.387878788,-1,3,-1,4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.393939394,-1,4,-0.9,3.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.4,-1,5,-0.9,4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.406060606,-0.5,3,-0.9,4.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.412121212,-1,5,-0.9,4.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.418181818,-1,5,-0.9,4.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.424242424,-1,4,-1,4.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.43030303,-1,5,-1,4.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.436363636,-1,4,-1,4.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.442424242,-1,5,-0.9,4.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.448484848,-1,4,-0.9,4.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.454545455,-0.5,4,-0.9,4.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.460606061,-1,4,-0.9,4.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.466666667,-1,5,-0.9,4.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.472727273,-1,5,-1,4.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.478787879,-1,5,-1,4.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.484848485,-1,4,-1,4.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.490909091,-1,4,-0.9,3.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.496969697,-1,4,-0.8,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.503030303,-0.5,2,-0.7,2.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.509090909,-0.5,2,-0.7,2.6
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.515151515,-0.5,2,-0.7,2.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.521212121,-1,3,-0.7,2.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.527272727,-1,2,-0.8,2.4
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.533333333,-0.5,2,-0.9,2.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.539393939,-1,3,-0.9,2.8
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.545454545,-1,4,-0.9,3
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.551515152,-1,3,-0.8,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.557575758,-1,3,-0.6,3
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.563636364,0,3,-0.2,3
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.56969697,0,2,0.2,3.2
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.575757576,1,4,0.4,3
ee628c6877967dd5e03e59a09a0dccb6,Africa,Algeria,Supernatural,0.581818182,1,4,0.6,3
